579	1
587	1
220	1
195	1
267	2
260	2
198	1
217	3
751	1
472	1
613	1
270	3
214	1
675	1
623	2
569	1
249	1
663	1
239	1
639	1
617	1
269	1
595	1
224	1
242	2
720	1
450	1
630	1
285	1
669	1
576	1
309	2
784	1
680	1
418	1
607	1
708	1
507	2
468	1
662	1
466	1
475	1
601	1
367	1
567	1
437	1
453	1
505	1
370	1
522	1
333	1
319	1
488	1
456	1
316	2
409	1
341	1
324	1
388	1
381	1
284	1
276	1
352	1
234	1
215	1
228	1
290	1
178	1
225	1
241	1
177	1
149	1
175	1
202	1
174	1
133	1
118	1
130	1
151	2
125	1
100	1
85	1
83	1
89	1
96	1
95	1
86	1
71	1
57	1
44	1
32	1
22	1
14	1
6	1
3	37
1	23243
2	3610
