377	1
511	1
730	1
202	1
203	1
293	1
231	2
193	1
240	1
608	1
477	1
742	1
237	2
219	1
596	1
270	1
612	1
645	1
665	1
246	1
568	1
276	2
616	1
679	1
214	1
272	1
573	1
485	1
747	1
249	1
223	1
592	1
271	1
615	1
652	1
359	1
753	1
541	1
462	1
696	1
647	1
400	1
607	1
611	1
380	1
598	1
478	1
437	1
569	1
354	1
558	1
365	2
503	1
389	2
450	1
428	1
368	1
423	1
328	1
438	1
289	1
429	1
277	1
330	1
265	2
375	1
253	1
331	1
222	1
251	1
304	1
213	1
201	1
230	1
167	1
181	2
225	1
199	1
147	1
134	1
158	1
159	1
124	2
104	1
103	1
115	1
126	1
108	1
89	1
72	1
61	1
54	1
49	1
45	1
39	1
30	1
22	1
13	1
5	1
3	43
1	22896
2	3950
